STATE,MONTH_NAME,TOR_F_SCALE,TOR_WIDTH,TOR_LENGTH,DEATHS_DIRECT,CZ_NAME
Kansas,June,EF0,100.0,5.82,0,SHERIDAN
Colorado,June,EFU,30.0,0.54,0,CHEYENNE
Colorado,June,EFU,30.0,1.09,0,CHEYENNE
Colorado,June,EFU,30.0,0.48,0,CHEYENNE
Colorado,June,EFU,30.0,1.11,0,KIT CARSON
Nebraska,June,EFU,30.0,0.82,0,DUNDY
Texas,July,EF0,50.0,3.43,0,CAMERON
Florida,April,EF1,500.0,0.46,0,MARION
Florida,April,EF1,100.0,0.46,0,TAYLOR
Florida,April,EF1,150.0,0.96,0,GADSDEN
North Carolina,February,EF2,75.0,6.19,0,CABARRUS
Michigan,August,EF1,200.0,0.61,0,DELTA
Mississippi,January,EFU,30.0,2.16,0,HANCOCK
Louisiana,April,EF1,300.0,3.05,0,ST. TAMMANY
Louisiana,May,EF1,75.0,2.02,0,ST. TAMMANY
Arkansas,August,EF0,60.0,0.89,0,POINSETT
Arkansas,August,EF1,120.0,4.47,0,CRAIGHEAD
Arkansas,August,EF1,80.0,2.15,0,CROSS
Arkansas,August,EF0,60.0,2.15,0,ST. FRANCIS
North Carolina,February,EF1,400.0,7.32,0,STANLY
North Carolina,February,EF1,100.0,0.38,0,RANDOLPH
North Carolina,February,EF0,50.0,1.52,0,ROWAN
North Carolina,February,EF1,150.0,3.52,0,GASTON
North Carolina,February,EF1,150.0,2.06,0,UNION
North Carolina,February,EF0,100.0,0.45,0,LINCOLN
Tennessee,March,EF0,25.0,0.23,0,PUTNAM
Florida,June,EF0,75.0,0.62,0,SARASOTA
Florida,June,EF0,75.0,0.4,0,SARASOTA
Georgia,February,EF0,50.0,0.18,0,WARE
Florida,June,EF0,100.0,1.43,0,COLUMBIA
Iowa,March,EF1,50.0,7.38,0,BUCHANAN
North Carolina,December,EF0,20.0,0.14,0,COLUMBUS
Arkansas,August,EF1,70.0,3.56,0,CRAIGHEAD
Alabama,October,EF0,25.0,0.08,0,MOBILE
Louisiana,April,EF1,700.0,6.18,0,WEST CARROLL
Louisiana,April,EF0,100.0,2.74,0,WEST CARROLL
Louisiana,April,EF1,200.0,3.03,0,MOREHOUSE
Ohio,April,EF0,200.0,5.92,0,CLERMONT
Mississippi,April,EF1,200.0,6.02,0,SHARKEY
Mississippi,April,EF2,250.0,7.38,0,YAZOO
Mississippi,April,EF1,500.0,2.46,0,ATTALA
Ohio,April,EF0,200.0,2.88,0,BROWN
Kentucky,April,EF0,150.0,3.01,0,GRANT
Ohio,April,EF0,50.0,0.78,0,CLINTON
Mississippi,April,EF0,150.0,3.04,0,CHOCTAW
Mississippi,April,EF2,1100.0,8.49,0,NOXUBEE
Mississippi,April,EF1,375.0,3.89,0,NOXUBEE
Mississippi,April,EF1,985.0,5.72,0,CLARKE
Mississippi,April,EF1,300.0,2.88,0,LAUDERDALE
Louisiana,April,EF1,880.0,2.73,0,CONCORDIA
Kentucky,April,EF1,400.0,16.19,0,PENDLETON
Ohio,April,EF0,50.0,0.1,0,BROWN
Mississippi,April,EF0,200.0,6.49,0,MARION
Louisiana,April,EF2,700.0,7.59,0,WEST CARROLL
Louisiana,April,EF0,170.0,1.16,0,EAST CARROLL
South Dakota,August,EFU,25.0,0.36,0,KINGSBURY
Minnesota,August,EF0,30.0,0.4,0,GRANT
Minnesota,August,EF2,150.0,13.4,0,GRANT
Minnesota,August,EF1,150.0,1.71,0,GRANT
Pennsylvania,August,EF2,500.0,3.8,0,PHILADELPHIA
Pennsylvania,August,EF2,500.0,0.06,0,BUCKS
Tennessee,March,EF0,75.0,6.9,0,WHITE
Minnesota,August,EF0,50.0,4.0,0,GRANT
Minnesota,August,EF0,40.0,1.0,0,GRANT
Pennsylvania,August,EF0,200.0,3.14,0,MONTGOMERY
Tennessee,March,EF4,900.0,8.39,19,PUTNAM
Pennsylvania,August,EF2,500.0,16.91,0,BUCKS
Florida,August,EF2,550.0,4.59,0,VOLUSIA
Florida,August,EF0,70.0,0.05,0,VOLUSIA
Minnesota,August,EF1,100.0,0.25,0,BELTRAMI
Washington,March,EF0,20.0,0.1,0,BENTON
North Dakota,August,EF1,150.0,2.87,0,BARNES
North Dakota,August,EF0,40.0,2.0,0,TRAILL
Minnesota,August,EF1,250.0,6.18,0,HUBBARD
Minnesota,August,EF1,200.0,22.0,0,PENNINGTON
Georgia,February,EF0,200.0,0.33,0,BARTOW
Georgia,February,EF0,200.0,1.91,0,GORDON
Mississippi,April,EF1,500.0,2.59,0,WALTHALL
Nebraska,June,EFU,1.0,0.1,0,JEFFERSON
North Carolina,February,EF2,150.0,5.14,0,CLEVELAND
Nebraska,May,EFU,50.0,0.03,0,GAGE
Georgia,October,EF0,200.0,2.13,0,PIKE
Georgia,October,EF0,150.0,0.56,0,CLAYTON
Georgia,October,EF0,250.0,1.68,0,DE KALB
Georgia,October,EF0,200.0,0.66,0,GWINNETT
Mississippi,April,EF1,440.0,4.09,0,HUMPHREYS
Mississippi,April,EF0,50.0,2.33,0,HOLMES
Mississippi,April,EF1,1905.0,12.19,0,FORREST
Tennessee,March,EF0,50.0,4.8,0,HUMPHREYS
North Carolina,April,EF0,30.0,1.49,0,PENDER
North Carolina,April,EF1,30.0,2.84,0,PENDER
South Carolina,April,EF1,40.0,4.76,0,GEORGETOWN
Arkansas,April,EF0,30.0,0.89,0,CRAIGHEAD
Tennessee,January,EF0,30.0,3.3,0,CLAIBORNE
Arkansas,April,EF2,75.0,9.33,0,POINSETT
Florida,January,EFU,50.0,4.68,0,MONROE
Nebraska,June,EF0,10.0,0.01,0,CUSTER
North Carolina,April,EF0,15.0,0.42,0,BRUNSWICK
North Carolina,February,EF1,100.0,7.03,0,CLEVELAND
Missouri,June,EF0,100.0,0.76,0,CRAWFORD
South Carolina,April,EF2,50.0,4.56,0,GEORGETOWN
North Carolina,April,EF1,50.0,2.82,0,PENDER
Tennessee,March,EF1,200.0,8.71,0,HUMPHREYS
Texas,August,EF0,20.0,0.01,0,NUECES
South Carolina,January,EF2,150.0,0.55,0,KERSHAW
Oklahoma,January,EF0,10.0,1.3,0,LINCOLN
Ohio,January,EF0,175.0,6.34,0,MIAMI
Ohio,January,EF0,350.0,3.1,0,MIAMI
Arkansas,January,EF1,400.0,3.9,0,FRANKLIN
Oklahoma,January,EF1,250.0,5.8,0,CHEROKEE
Oklahoma,January,EFU,50.0,1.0,0,MAYES
South Carolina,January,EF0,30.0,0.44,0,ANDERSON
South Carolina,January,EF0,160.0,0.66,0,ANDERSON
South Carolina,January,EF0,50.0,1.24,0,ABBEVILLE
South Carolina,January,EF0,50.0,1.2,0,GREENWOOD
South Carolina,January,EF0,30.0,0.53,0,GREENWOOD
Illinois,March,EFU,10.0,1.07,0,HENRY
Illinois,March,EF1,20.0,2.17,0,WHITESIDE
Iowa,March,EF1,50.0,3.8,0,DUBUQUE
Illinois,July,EFU,15.0,0.15,0,MACOUPIN
Illinois,July,EF0,300.0,3.89,0,MONTGOMERY
Tennessee,March,EF0,50.0,3.32,0,PUTNAM
Tennessee,March,EF2,500.0,10.07,0,CUMBERLAND
Tennessee,March,EF1,900.0,11.99,0,SMITH
Tennessee,March,EF3,1150.0,21.49,2,DAVIDSON
Tennessee,March,EF3,1600.0,26.65,3,WILSON
Mississippi,April,EF1,200.0,3.12,0,PEARL RIVER
Mississippi,January,EF0,100.0,3.14,0,LEE
Georgia,January,EF0,400.0,2.07,0,PAULDING
Mississippi,January,EF1,200.0,7.74,0,DE SOTO
Illinois,March,EFU,10.0,0.12,0,KNOX
Illinois,March,EF1,100.0,2.06,0,FULTON
Illinois,March,EF1,50.0,3.27,0,PEORIA
Illinois,July,EFU,10.0,0.2,0,MONTGOMERY
Tennessee,March,EF0,200.0,3.68,0,MORGAN
Mississippi,January,EF1,120.0,2.97,0,TISHOMINGO
Mississippi,January,EF0,80.0,0.72,0,TISHOMINGO
Maryland,August,EF2,200.0,3.8,0,WORCESTER
Maryland,August,EF0,75.0,8.0,0,WORCESTER
Georgia,January,EF0,400.0,1.79,0,COBB
Iowa,March,EF0,50.0,3.6,0,FAYETTE
Iowa,March,EF1,140.0,3.93,0,FAYETTE
Alabama,March,EF0,190.0,3.33,0,MONTGOMERY
Alabama,March,EF0,180.0,0.83,0,PIKE
Oklahoma,March,EF1,225.0,2.7,0,OKFUSKEE
Mississippi,January,EF0,200.0,3.53,0,TATE
Wisconsin,March,EF1,120.0,6.22,0,GRANT
Alabama,March,EF1,200.0,8.16,0,COLBERT
Texas,March,EF2,425.0,4.68,0,NOLAN
Mississippi,January,EF1,150.0,3.87,0,PANOLA
Arkansas,January,EF2,250.0,13.6,0,LOGAN
Texas,January,EF1,100.0,0.11,0,BURLESON
Texas,March,EF2,135.0,4.62,0,JONES
Texas,March,EFU,135.0,0.76,0,SHACKELFORD
Georgia,January,EF1,100.0,0.34,0,UPSON
Mississippi,January,EF1,100.0,4.09,0,PRENTISS
Tennessee,January,EF1,150.0,1.86,0,OBION
Texas,March,EF1,35.0,0.23,0,TAYLOR
Texas,March,EFU,35.0,0.07,0,THROCKMORTON
Texas,March,EF2,425.0,6.18,0,TAYLOR
Tennessee,March,EF1,175.0,4.76,0,FRANKLIN
Arkansas,March,EF1,200.0,5.33,0,JACKSON
Georgia,January,EF0,450.0,3.05,0,FANNIN
Mississippi,January,EF0,150.0,1.37,0,TATE
Florida,March,EF0,25.0,0.17,0,WALTON
Alabama,March,EF0,80.0,0.14,0,PIKE
Missouri,March,EF0,50.0,3.06,0,NEW MADRID
Tennessee,January,EF0,90.0,1.98,0,FAYETTE
Mississippi,January,EF1,150.0,8.22,0,PRENTISS
Arkansas,January,EF1,130.0,0.43,0,LONOKE
Mississippi,March,EF0,400.0,8.81,0,COVINGTON
Texas,March,EF0,120.0,1.55,0,YOUNG
Texas,March,EF0,46.0,0.67,0,JACK
Georgia,March,EF1,200.0,8.86,0,RANDOLPH
Florida,March,EF1,150.0,3.39,0,JEFFERSON
Florida,March,EF1,100.0,11.74,0,MADISON
Arkansas,January,EF0,150.0,0.81,0,DREW
Mississippi,January,EF0,100.0,2.24,0,TALLAHATCHIE
Mississippi,March,EF0,200.0,0.5,0,JEFFERSON DAVIS
Georgia,March,EF1,200.0,13.26,0,QUITMAN
Texas,March,EF0,100.0,0.81,0,WISE
Alabama,March,EF0,80.0,1.61,0,PIKE
Florida,March,EF0,50.0,0.11,0,MADISON
Mississippi,March,EF1,50.0,8.15,0,GEORGE
Arkansas,March,EF1,400.0,5.67,0,SHARP
Texas,March,EFU,300.0,4.48,0,REEVES
Texas,March,EFU,300.0,4.49,0,LOVING
Texas,March,EF0,575.0,4.02,0,WISE
Texas,March,EF0,375.0,5.19,0,YOUNG
Illinois,March,EF1,125.0,3.17,0,PERRY
Illinois,March,EF0,75.0,0.58,0,JEFFERSON
Arkansas,March,EF1,300.0,0.81,0,POPE
Alabama,March,EF1,525.0,6.21,0,BIBB
Texas,March,EF1,20.0,0.47,0,WARD
Missouri,June,EF1,125.0,0.74,0,ST. FRANCOIS
Texas,March,EF0,55.0,1.82,0,JACK
Texas,March,EF0,12.0,1.52,0,STEPHENS
Alabama,March,EF2,350.0,7.85,0,BARBOUR
Alabama,March,EF0,220.0,4.34,0,HALE
Florida,March,EF1,150.0,5.82,0,MADISON
Illinois,March,EF1,300.0,2.32,0,HAMILTON
Indiana,March,EF2,575.0,4.2,0,WARRICK
New Mexico,March,EF0,50.0,0.58,0,OTERO
Arkansas,March,EF1,200.0,2.79,0,POPE
Kentucky,March,EF1,100.0,0.86,0,HENDERSON
Georgia,January,EF0,100.0,1.46,0,PIKE
Georgia,January,EF0,50.0,0.28,0,SPALDING
Mississippi,January,EF1,120.0,2.74,0,PRENTISS
Kentucky,March,EF1,400.0,5.51,0,CHRISTIAN
Arkansas,March,EF2,500.0,12.5,0,BOONE
New Mexico,March,EF0,100.0,0.46,0,CURRY
Mississippi,January,EF1,150.0,1.8,0,QUITMAN
Kentucky,March,EF1,250.0,0.7,0,ALLEN
Kentucky,March,EF2,250.0,2.0,0,WARREN
Kentucky,March,EF2,500.0,16.79,0,HENDERSON
Illinois,March,EF1,400.0,7.03,0,OGLE
Florida,March,EF0,704.0,0.8,0,SUWANNEE
Florida,March,EF0,704.0,0.39,0,ST. JOHNS
Arkansas,March,EF1,600.0,2.16,0,BAXTER
Tennessee,January,EF0,75.0,0.08,0,WEAKLEY
Mississippi,January,EF2,300.0,8.21,0,DE SOTO
Mississippi,January,EF0,150.0,5.88,0,PANOLA
Mississippi,January,EF0,70.0,5.85,0,MARSHALL
New Mexico,March,EF0,40.0,0.49,0,SAN JUAN
Missouri,March,EF0,75.0,0.42,0,CARTER
Oklahoma,March,EF0,75.0,0.6,0,CREEK
Kentucky,March,EF1,175.0,1.66,0,MCCREARY
Missouri,March,EF0,100.0,0.6,0,BUTLER
Arkansas,January,EF1,15.0,0.17,0,CHICOT
Mississippi,January,EF1,270.0,2.55,0,BOLIVAR
Texas,May,EF1,100.0,0.53,0,TITUS
Oklahoma,May,EFU,50.0,0.3,0,TILLMAN
Texas,May,EF0,50.0,0.82,0,PECOS
South Carolina,May,EF1,100.0,4.57,0,CHESTER
South Carolina,May,EF1,200.0,9.02,0,CHESTER
Illinois,May,EFU,25.0,0.69,0,KENDALL
Illinois,May,EFU,25.0,0.52,0,GRUNDY
North Carolina,May,EF1,200.0,0.2,0,HOKE
Louisiana,May,EFU,40.0,2.28,0,SABINE
Missouri,May,EF1,150.0,5.84,0,NEW MADRID
North Dakota,May,EF0,20.0,0.1,0,BENSON
South Carolina,May,EF1,200.0,6.25,0,CHEROKEE
Kansas,May,EFU,25.0,2.66,0,LYON
Illinois,May,EFU,25.0,0.88,0,PIATT
Illinois,May,EF1,100.0,0.3,0,OGLE
Arkansas,May,EFU,20.0,0.99,0,LITTLE RIVER
Kansas,May,EFU,75.0,0.97,0,WABAUNSEE
Kansas,May,EF0,50.0,1.6,0,LYON
Illinois,May,EF0,50.0,1.0,0,KANE
Illinois,May,EF0,100.0,2.26,0,WILL
Ohio,May,EF0,75.0,1.92,0,MADISON
Texas,May,EF1,50.0,0.47,0,BEXAR
Virginia,February,EF0,250.0,3.36,0,LOUDOUN
South Carolina,May,EF1,300.0,0.77,0,CHARLESTON
Kansas,May,EFU,50.0,3.69,0,MORRIS
Kansas,May,EFU,50.0,1.11,0,SHERMAN
Iowa,May,EF0,40.0,0.95,0,DALLAS
Iowa,May,EFU,30.0,1.69,0,DALLAS
Iowa,May,EF1,250.0,5.14,0,WRIGHT
Iowa,May,EFU,35.0,2.94,0,GUTHRIE
Florida,May,EF1,40.0,4.83,0,MIAMI-DADE
Maryland,February,EF1,150.0,1.11,0,MONTGOMERY
Iowa,May,EFU,20.0,0.66,0,GUTHRIE
Montana,May,EF0,50.0,0.82,0,VALLEY
New York,May,EF1,433.0,8.58,0,WARREN
New York,May,EF1,50.0,1.78,0,SARATOGA
Maryland,February,EF0,75.0,2.08,0,MONTGOMERY
Illinois,May,EF0,100.0,1.97,0,GRUNDY
Illinois,May,EF0,100.0,2.07,0,KENDALL
Illinois,May,EF0,50.0,2.2,0,DE KALB
Maryland,February,EF1,150.0,6.74,0,FREDERICK
Maryland,February,EF1,100.0,10.31,0,CARROLL
Louisiana,May,EF1,100.0,0.63,0,EVANGELINE
Louisiana,May,EF1,75.0,1.03,0,CALCASIEU
Texas,May,EF0,30.0,0.64,0,FRANKLIN
Colorado,May,EFU,25.0,2.0,0,PROWERS
Colorado,May,EFU,25.0,1.0,0,PROWERS
Kansas,May,EF0,50.0,0.56,0,HAMILTON
Kansas,May,EF0,50.0,0.31,0,HAMILTON
Oklahoma,May,EFU,20.0,1.25,0,MCCURTAIN
Texas,May,EF1,25.0,4.47,0,ORANGE
Texas,May,EFU,40.0,1.78,0,CASS
Texas,May,EF1,30.0,0.19,0,BOWIE
Kansas,May,EF0,50.0,0.07,0,HAMILTON
Kansas,May,EFU,150.0,1.76,0,KEARNY
Tennessee,February,EF1,300.0,10.51,0,LAWRENCE
Illinois,May,EFU,25.0,1.69,0,PEORIA
Illinois,May,EFU,20.0,0.36,0,MOULTRIE
Arkansas,May,EF1,30.0,2.16,0,MILLER
Arkansas,May,EF0,20.0,0.09,0,LITTLE RIVER
Illinois,May,EFU,20.0,0.31,0,MOULTRIE
Louisiana,May,EF1,25.0,4.34,0,ALLEN
Louisiana,May,EF0,10.0,1.03,0,CAMERON
Louisiana,May,EF0,10.0,0.1,0,CALCASIEU
Arkansas,May,EF1,50.0,2.34,0,COLUMBIA
Arkansas,May,EF1,50.0,0.29,0,NEVADA
Missouri,May,EF0,50.0,4.04,0,CARTER
Oklahoma,May,EF0,50.0,0.1,0,OSAGE
Oklahoma,May,EF1,225.0,3.0,0,LE FLORE
Louisiana,May,EF1,75.0,12.53,0,BEAUREGARD
Texas,May,EF0,20.0,2.6,0,BASTROP
Texas,May,EF0,20.0,0.73,0,CALDWELL
Texas,May,EFU,20.0,0.05,0,BASTROP
Arkansas,May,EF1,40.0,1.89,0,NEVADA
Arkansas,May,EF0,20.0,0.47,0,HEMPSTEAD
Arkansas,May,EF1,40.0,0.3,0,LAFAYETTE
Oklahoma,May,EF1,100.0,0.9,0,LE FLORE
Mississippi,January,EF2,850.0,5.43,0,SUNFLOWER
Georgia,May,EFU,30.0,0.05,0,SCREVEN
Missouri,May,EF0,20.0,0.01,0,BUCHANAN
Louisiana,May,EF3,100.0,3.93,1,ACADIA
Louisiana,May,EF0,10.0,0.2,0,EVANGELINE
North Carolina,May,EF0,150.0,0.17,0,WARREN
Oklahoma,May,EFU,50.0,0.3,0,LATIMER
Oklahoma,May,EF0,20.0,0.13,0,MCCURTAIN
Texas,May,EFU,40.0,0.85,0,BOWIE
Mississippi,February,EF2,300.0,0.02,0,HOLMES
North Carolina,April,EF0,25.0,0.35,0,WASHINGTON
North Carolina,April,EF0,60.0,0.08,0,JONES
North Carolina,April,EF0,29.0,0.31,0,BEAUFORT
Mississippi,February,EF0,75.0,0.66,0,HINDS
South Carolina,April,EF0,200.0,2.01,0,PICKENS
Pennsylvania,April,EF0,100.0,0.86,0,BEAVER
Ohio,April,EF0,100.0,1.25,0,TUSCARAWAS
Mississippi,April,EF1,250.0,4.3,0,PERRY
Texas,April,EF1,30.0,0.74,0,SHELBY
Alabama,April,EF1,350.0,2.42,0,PERRY
Alabama,April,EF0,400.0,3.8,0,DALLAS
North Carolina,April,EF0,75.0,0.27,0,CRAVEN
Arkansas,January,EF1,800.0,10.31,0,ASHLEY
South Carolina,April,EF1,400.0,3.97,0,OCONEE
Ohio,April,EF1,250.0,5.48,0,COLUMBIANA
Alabama,April,EF0,300.0,4.8,0,PICKENS
Alabama,April,EF0,265.0,0.65,0,FAYETTE
Texas,April,EF1,100.0,10.59,0,HARRISON
North Carolina,February,EF1,150.0,15.09,0,MECKLENBURG
Ohio,April,EF0,100.0,2.96,0,COLUMBIANA
Alabama,April,EF0,350.0,1.79,0,FAYETTE
Alabama,April,EF1,600.0,5.73,0,FAYETTE
New Jersey,April,EF0,20.0,0.41,0,OCEAN
Georgia,April,EF0,200.0,3.23,0,STEPHENS
Alabama,April,EF1,320.0,0.41,0,WALKER
Alabama,April,EF1,925.0,0.89,0,WALKER
Missouri,April,EF0,50.0,0.02,0,SALINE
Mississippi,February,EF2,900.0,8.84,0,YAZOO
Mississippi,February,EF2,800.0,3.89,0,ATTALA
Mississippi,January,EF0,250.0,2.96,0,SCOTT
Mississippi,February,EF1,150.0,6.17,0,SIMPSON
Mississippi,February,EF1,300.0,1.66,0,ATTALA
Georgia,April,EF0,200.0,1.31,0,HABERSHAM
Georgia,April,EF1,500.0,8.73,0,STEPHENS
South Carolina,April,EF0,70.0,7.42,0,PICKENS
Mississippi,February,EF1,300.0,2.2,0,YAZOO
Illinois,April,EF0,100.0,2.1,0,SANGAMON
Mississippi,February,EF1,800.0,8.12,0,YAZOO
South Carolina,April,EF2,200.0,5.3,0,PICKENS
South Carolina,April,EF2,200.0,2.67,0,GREENVILLE
Florida,April,EF0,25.0,2.74,0,SEMINOLE
Arkansas,January,EF2,1000.0,17.58,0,ASHLEY
Mississippi,January,EF2,850.0,0.99,0,WASHINGTON
Arkansas,January,EF1,550.0,8.26,0,CHICOT
Arkansas,April,EF2,350.0,15.95,0,SEVIER
Mississippi,February,EF2,900.0,9.87,0,ATTALA
Mississippi,February,EF1,200.0,1.95,0,CHOCTAW
Pennsylvania,April,EF0,250.0,1.01,0,WESTMORELAND
Texas,April,EF0,20.0,0.24,0,RED RIVER
Mississippi,January,EF0,200.0,5.44,0,WASHINGTON
Mississippi,February,EF2,1000.0,10.51,0,CLARKE
Mississippi,February,EF1,850.0,22.91,0,LAUDERDALE
Mississippi,February,EF2,1320.0,26.43,0,JASPER
Arkansas,January,EF1,900.0,2.93,0,CHICOT
Arkansas,January,EF1,200.0,2.97,0,CHICOT
Alabama,February,EF2,700.0,9.91,0,SHELBY
Mississippi,January,EF1,880.0,4.18,0,BOLIVAR
Mississippi,January,EF2,1700.0,5.54,0,SUNFLOWER
Mississippi,February,EF1,250.0,9.13,0,LEAKE
Mississippi,February,EF1,150.0,4.91,0,LEAKE
Mississippi,April,EF1,350.0,1.8,0,WAYNE
Alabama,April,EF2,940.0,6.02,0,JEFFERSON
Kansas,June,EFU,10.0,0.01,0,MARSHALL
Georgia,April,EF1,200.0,5.06,0,HABERSHAM
Minnesota,June,EF0,25.0,0.72,0,WINONA
Alabama,February,EF1,300.0,2.1,0,TALLAPOOSA
Mississippi,February,EF2,440.0,2.64,0,SMITH
Alabama,April,EF0,125.0,0.47,0,BLOUNT
North Carolina,April,EF1,440.0,4.53,0,ALAMANCE
North Carolina,April,EF2,75.0,0.19,0,ANSON
South Carolina,April,EF0,30.0,0.58,0,ANDERSON
Mississippi,January,EF2,1800.0,23.38,0,BOLIVAR
Alabama,January,EF1,275.0,5.8,0,BARBOUR
Alabama,April,EF1,200.0,2.97,0,CULLMAN
